;Tag Type, Tag Name, Tag Description, Read Only, Data Source, Security Code, Alarmed, Data Logged, Native Type, Value Type, Min Analog, Max Analog, Initial Analog, Scale, Offset, DeadBand, Units, Off Label Digital, On Label Digital, Initial Digital, Length String, Initial String, Node Name, Address, Scan Class,  System Source Name, System Source Index, RIO Address, Element Size Block, Number Elements Block, Initial Block
F,ABF\D10,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ABF\H01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ABF\H02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ABF\H03,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ABF\H04,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ACO,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ACO\D01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ACO\D02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ACO\D03,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ACO\D04,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ACO\H01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ACO\H02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AFM,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AFM\D01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AFM\D02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AFM\D03,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AFM\D04,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AFM\D05,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AFM\D06,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AFM\D07,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AFM\H01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AFM\H02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AFV,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AFV\D01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AFV\D02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AFV\D03,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AFV\D04,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AFV\H01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AFV\H02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AFV\H03,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AFV\H04,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AHA,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AHA\D01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AHA\D02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AHA\D03,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AHA\D04,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AHA\D05,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AHA\D06,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AHA\D07,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AHA\H01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AHA\H02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ALM,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ALM\D01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ALM\D02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ALM\D03,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ALM\H01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ALM\H02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ANA,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ANA\D01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ANA\D02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ANA\D03,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ANA\D04,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ANA\H01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ANA\H02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ANA\S289,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ASH,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ASH\D01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ASH\D02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ASH\D03,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ASH\D04,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ASH\H01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ASH\H02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ASL,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ASL\D01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ASL\D02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ASL\D03,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ASL\D04,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ASL\H01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ASL\H02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ASL\H08,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,ATS,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AUC,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AUC\D01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AUC\D02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AUC\D03,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AUC\D04,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AUC\D05,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AUC\D06,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AUC\D07,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AUC\H01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AUC\H02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AUC\H11,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AUC\H12,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AWA,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AWA\H11,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AWA\H12,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AXA,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AXA\D01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AXB,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AXB\D01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AXB\D02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AYE,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AYE\D01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AYE\D02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AYE\D03,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AYJ,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AYJ\D01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AYJ\D02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AYP,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AYP\D01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AYP\D02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AYR,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AYR\D01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AYR\D02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AYR\D03,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AYR\D04,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AYR\D05,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AZD,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AZD\D01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AZD\D05,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AZD\D06,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AZD\D07,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,AZD\S77,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,C10,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,C10_PLC5,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,C12,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,C12_PLC5,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,C14,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,C14\C1_TRK,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,C14\C2_TRK,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,C14\CV15,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,C14\CV16,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,C14\CV17,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,C14\CV18,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,C14_PLC5,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,C20,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,C20_PLC5,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,C30,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,C30_PLC5,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,C40,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,C40_PLC5,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,C50,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,C50_PLC5,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,C55,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,C55_PLC5,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,C59,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,C60,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,C60_PLC5,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,C70_PLC5,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,C70_TCR,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,C76_TCH,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,C80_eBART,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,C80_PLC5,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,C80_TCR,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CAR,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CAR\D01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CAR\D02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CAR\D03,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CAR\D04,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CAR\H01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CAR\H02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CCC,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CCC\D01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CCC\D02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CCC\D03,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CCC\D04,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CCC\H01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CCC\H02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CCO,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CCO\D01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CCO\D02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CCO\D03,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CCO\D04,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CCO\D05,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CCO\D06,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CCO\D07,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CCO\H01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CCO\H02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CCO\H03,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CCO\H04,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CCY,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CCY\D01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CCY\D02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CCY\D03,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CCY\D04,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CCY\D05,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CCY\D06,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CCY\D07,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CCY\D08,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CCY\D09,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CCY\D10,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CCY\D11,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CCY\D12,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CCY\D13,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CCY\D14,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CCY\D15,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CCY\D16,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CCY\D17,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CCY\H01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CCY\H02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CER,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CER\D01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CER\D02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CER\D03,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CER\D04,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CER\H01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CER\H02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CER\H11,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CER\H12,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CER\S289,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CGD,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CGD\D01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CGD\D02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CGD\D03,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CGD\D04,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CGD\H01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CGD\H02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CGD\S289,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CHS_PLC5,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CHSVENT,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CHSVENT\INTERNAL,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CLA,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CLA\D01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CLA\D02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CLA\D03,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CLA\D04,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CLA\H01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CLA\H02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CLA\H03,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CLA\H04,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CNC,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CNC\D01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CNC\D02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CNC\D03,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CNC\D04,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CNC\D05,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CNC\D06,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CNC\D07,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CNC\D08,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CNC\H01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CNC\H02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CNC\S289,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CNS,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CNS\D01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CNS\D02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CNS\D03,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CNS\D04,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CNS\H01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CNS\H02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CNS\S289,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Comm_Sw_Status,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,COR,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,COR\D01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,COR\D02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,COR\D03,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,COR\D04,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,COR\H01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,COR\H02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,COR\H11,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,COR\H12,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CP_PLC5,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CPH,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CPH\D01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CPH\D02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CPH\D03,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CPH\D04,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CPH\H01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CPH\H02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CPW,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CPW\D01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CPW\D02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CPW\D03,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CPW\D04,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CPW\D05,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CPW\D06,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CPW\D07,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CPW\H01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CPW\H02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CPW\S289,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CRO,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CRO\D01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CRO\D02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CRO\D03,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CRO\H01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CRO\H02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CWC,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CWC\D01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CWC\D02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CWC\D03,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CWC\D04,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CWC\H01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CWC\H02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CWC\H11,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CWC\H12,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CWP,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CWP\D01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CWP\D02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CWP\D03,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CWP\H01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CWP\H02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CWS,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CWS\K01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CXD,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CXD\D01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CXD\D02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CXE,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CXE\D01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CXE\D02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CXF,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CXF\D01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CXF\D02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CXH,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CXH\D01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CXH\D02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CXJ,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CXJ\D01,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,CXJ\D02,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
